age,job,marital,education_qual,call_type,day,mon,dur,num_calls,prev_outcome,y
53,technician,married,secondary,unknown,5,may,1666.0,1,unknown,no
36,admin.,divorced,secondary,unknown,5,may,577.0,1,unknown,no
37,admin.,single,secondary,unknown,5,may,,1,,no
44,,divorced,secondary,unknown,5,may,160.0,1,unknown,no
50,management,married,secondary,unknown,5,may,,2,,no
60,blue-collar,married,,unknown,5,may,22.0,1,unknown,no
54,,married,secondary,unknown,5,may,1492.0,1,unknown,no
58,,married,unknown,unknown,5,may,616.0,1,unknown,no
36,admin.,single,primary,unknown,5,,242.0,1,,no
58,self-employed,married,tertiary,unknown,5,may,,1,,no
44,technician,married,secondary,unknown,5,,225.0,2,unknown,no
55,,divorced,secondary,unknown,5,,160.0,1,unknown,no
29,management,single,tertiary,unknown,5,may,363.0,1,unknown,no
54,blue-collar,married,secondary,unknown,5,,266.0,1,,no
48,,divorced,tertiary,unknown,5,may,253.0,1,unknown,no
32,management,married,tertiary,unknown,5,may,179.0,1,unknown,no
42,,single,secondary,unknown,5,,787.0,1,unknown,no
24,technician,single,secondary,unknown,5,may,145.0,1,unknown,no
38,entrepreneur,single,tertiary,unknown,5,may,174.0,1,unknown,no
38,management,single,tertiary,unknown,5,may,,1,,no
47,blue-collar,married,unknown,unknown,5,may,13.0,1,,no
40,,single,,unknown,5,may,185.0,1,unknown,no
46,services,married,primary,unknown,5,may,1778.0,1,unknown,no
32,admin.,married,tertiary,unknown,5,may,138.0,1,,no
53,technician,divorced,secondary,unknown,5,may,812.0,1,,no
57,,married,,unknown,5,,,1,unknown,no
33,,married,,unknown,5,may,391.0,1,,no
49,,married,unknown,unknown,5,may,,1,unknown,no
51,management,married,tertiary,unknown,5,may,91.0,1,unknown,no
60,,married,tertiary,unknown,5,may,,1,unknown,no
59,,divorced,tertiary,unknown,5,may,273.0,1,unknown,no
55,technician,married,secondary,unknown,5,may,,2,unknown,no
35,blue-collar,single,secondary,unknown,5,may,,1,unknown,no
57,,married,secondary,unknown,5,may,258.0,1,,no
31,services,married,secondary,unknown,5,may,172.0,1,unknown,no
54,management,married,secondary,unknown,5,may,154.0,1,unknown,no
55,,married,,unknown,5,may,,1,unknown,no
43,technician,married,secondary,unknown,5,may,181.0,1,unknown,no
53,technician,married,secondary,unknown,5,may,176.0,1,unknown,no
44,blue-collar,married,secondary,unknown,5,may,211.0,1,,no
55,,divorced,,unknown,5,may,,1,unknown,no
49,services,divorced,secondary,unknown,5,,272.0,1,,no
55,services,divorced,,unknown,5,,208.0,1,unknown,no
45,admin.,single,secondary,unknown,5,,193.0,1,,no
47,,divorced,,unknown,5,may,212.0,1,unknown,no
42,technician,single,secondary,unknown,5,,20.0,1,unknown,no
59,admin.,married,secondary,unknown,5,may,1042.0,1,unknown,yes
46,self-employed,married,,unknown,5,may,,1,unknown,no
51,,married,,unknown,5,,529.0,2,unknown,no
56,admin.,married,secondary,unknown,5,,,1,unknown,yes
41,technician,married,secondary,unknown,5,,1389.0,1,unknown,yes
46,management,divorced,secondary,unknown,5,may,,2,unknown,no
57,retired,married,secondary,unknown,5,,,2,unknown,no
42,management,single,secondary,unknown,5,,48.0,1,,no
30,technician,married,secondary,unknown,5,may,,2,,no
60,admin.,married,secondary,unknown,5,may,583.0,1,unknown,no
60,blue-collar,married,unknown,unknown,5,may,221.0,1,,no
57,entrepreneur,divorced,secondary,unknown,5,may,,1,unknown,no
36,,married,tertiary,unknown,5,,,1,,no
55,blue-collar,married,secondary,unknown,5,,287.0,1,unknown,no
60,retired,married,tertiary,unknown,5,may,101.0,1,unknown,no
39,technician,married,secondary,unknown,5,may,203.0,1,unknown,no
46,,married,tertiary,unknown,5,,197.0,1,unknown,no
44,blue-collar,married,,unknown,5,may,257.0,1,,no
53,blue-collar,married,,unknown,5,may,124.0,1,,no
52,blue-collar,married,primary,unknown,5,may,229.0,1,unknown,no
59,blue-collar,married,primary,unknown,5,may,55.0,3,,no
27,technician,single,,unknown,5,may,400.0,1,unknown,no
44,blue-collar,married,,unknown,5,may,197.0,1,unknown,no
47,technician,married,tertiary,unknown,5,,190.0,1,unknown,no
34,,married,secondary,unknown,5,may,,1,,no
59,retired,single,secondary,unknown,5,may,514.0,1,unknown,no
45,management,married,tertiary,unknown,5,,,2,unknown,no
29,services,divorced,secondary,unknown,5,,194.0,1,unknown,no
46,technician,divorced,secondary,unknown,5,may,,1,unknown,no
56,self-employed,married,primary,unknown,5,may,212.0,2,unknown,no
36,blue-collar,married,primary,unknown,5,may,,1,unknown,no
59,retired,divorced,primary,unknown,5,may,107.0,1,,no
44,blue-collar,married,,unknown,5,may,247.0,2,unknown,no
41,admin.,married,secondary,unknown,5,,518.0,1,unknown,no
33,management,single,,unknown,5,may,364.0,1,unknown,no
59,management,divorced,tertiary,unknown,5,may,,1,unknown,no
57,technician,married,primary,unknown,5,may,98.0,1,,no
56,,divorced,unknown,unknown,5,may,439.0,1,unknown,no
51,blue-collar,married,,unknown,5,may,79.0,1,,no
34,admin.,married,unknown,unknown,5,may,120.0,3,unknown,no
43,services,married,,unknown,5,may,,2,unknown,no
52,technician,married,tertiary,unknown,5,may,,1,unknown,no
33,technician,single,secondary,unknown,5,may,262.0,2,unknown,no
29,admin.,single,secondary,unknown,5,may,,1,,no
34,services,married,,unknown,5,,,1,,no
31,blue-collar,married,secondary,unknown,5,may,143.0,1,unknown,no
55,services,married,secondary,unknown,5,may,579.0,1,unknown,yes
55,,married,unknown,unknown,5,may,677.0,1,unknown,no
32,admin.,single,secondary,unknown,5,may,345.0,1,,no
38,technician,single,,unknown,5,may,,1,unknown,no
55,admin.,single,secondary,unknown,5,,,2,unknown,no
28,unemployed,single,tertiary,unknown,5,may,125.0,2,,no
23,blue-collar,married,secondary,unknown,5,may,193.0,1,,no
32,,single,secondary,unknown,5,,136.0,1,unknown,no
43,,single,unknown,unknown,5,,,1,unknown,no
32,blue-collar,married,secondary,unknown,5,may,528.0,1,unknown,no
46,,married,secondary,unknown,5,,541.0,1,,no
53,housemaid,divorced,primary,unknown,5,may,163.0,1,unknown,no
34,,single,secondary,unknown,5,may,301.0,1,unknown,no
57,,married,tertiary,unknown,5,may,46.0,1,unknown,no
37,blue-collar,married,secondary,unknown,5,,,1,unknown,no
59,blue-collar,married,secondary,unknown,5,may,,1,unknown,no
33,,married,secondary,unknown,5,may,71.0,1,unknown,no
56,blue-collar,divorced,primary,unknown,5,may,157.0,2,unknown,no
48,,married,secondary,unknown,5,may,,1,unknown,no
43,services,married,primary,unknown,5,may,186.0,2,unknown,no
54,blue-collar,married,primary,unknown,5,may,579.0,2,unknown,no
51,,married,unknown,unknown,5,may,163.0,2,unknown,no
26,student,single,,unknown,5,may,610.0,2,unknown,no
40,management,married,,unknown,5,,2033.0,1,unknown,no
39,,married,secondary,unknown,5,may,85.0,1,unknown,no
50,technician,married,primary,unknown,5,,114.0,2,,no
41,services,married,secondary,unknown,5,may,,2,unknown,no
51,blue-collar,married,unknown,unknown,5,may,57.0,1,unknown,no
60,retired,divorced,secondary,unknown,5,may,,1,unknown,no
52,blue-collar,married,secondary,unknown,5,may,,3,unknown,no
48,blue-collar,married,secondary,unknown,5,,128.0,2,,no
48,services,married,,unknown,5,may,107.0,1,unknown,no
39,,single,tertiary,unknown,5,may,181.0,1,,no
47,services,single,secondary,unknown,5,,303.0,2,unknown,no
40,blue-collar,married,secondary,unknown,5,may,558.0,5,,no
45,technician,married,,unknown,5,may,270.0,1,unknown,no
26,admin.,single,secondary,unknown,5,,,1,unknown,no
52,management,married,tertiary,unknown,5,may,,1,unknown,no
54,technician,married,secondary,unknown,5,may,240.0,1,unknown,no
54,admin.,married,,unknown,5,may,,2,unknown,yes
50,blue-collar,married,primary,unknown,5,may,233.0,3,,no
35,blue-collar,married,secondary,unknown,5,may,1056.0,1,unknown,no
44,services,married,secondary,unknown,5,may,250.0,1,unknown,no
53,,married,unknown,unknown,5,may,,1,unknown,no
35,retired,single,primary,unknown,5,may,138.0,1,unknown,no
60,,divorced,,unknown,5,may,,1,unknown,no
53,admin.,divorced,secondary,unknown,5,may,412.0,1,unknown,no
48,unemployed,married,secondary,unknown,5,may,179.0,2,unknown,no
34,technician,married,secondary,unknown,5,,19.0,2,unknown,no
54,,married,,unknown,5,may,458.0,2,,no
51,management,married,secondary,unknown,5,may,717.0,1,unknown,no
31,services,married,tertiary,unknown,5,may,313.0,1,,no
35,technician,divorced,,unknown,5,may,683.0,2,,no
35,services,married,,unknown,5,,1077.0,1,unknown,no
38,technician,married,secondary,unknown,5,may,,1,unknown,no
36,admin.,married,,unknown,5,may,,2,unknown,no
58,,married,,unknown,5,may,167.0,1,unknown,no
40,services,divorced,unknown,unknown,5,may,315.0,1,,no
54,management,married,secondary,unknown,5,,140.0,1,unknown,no
34,blue-collar,single,,unknown,5,may,346.0,1,unknown,no
31,management,single,tertiary,unknown,5,,562.0,1,unknown,no
51,retired,married,secondary,unknown,5,may,,1,unknown,no
33,management,married,tertiary,unknown,5,may,217.0,1,unknown,no
55,management,married,tertiary,unknown,5,may,142.0,2,unknown,no
42,admin.,married,secondary,unknown,5,may,67.0,1,unknown,no
34,blue-collar,married,,unknown,5,may,291.0,1,,no
33,blue-collar,single,secondary,unknown,5,may,309.0,2,,no
38,services,married,secondary,unknown,5,may,248.0,1,,no
50,,divorced,tertiary,unknown,5,,,1,unknown,no
43,,married,tertiary,unknown,5,may,256.0,1,unknown,no
61,blue-collar,divorced,primary,unknown,5,may,82.0,2,unknown,no
47,admin.,married,,unknown,5,may,577.0,1,unknown,no
48,self-employed,married,tertiary,unknown,5,may,286.0,1,unknown,no
44,blue-collar,married,secondary,unknown,5,may,477.0,1,,no
35,student,single,unknown,unknown,5,may,611.0,2,unknown,no
35,services,married,secondary,unknown,5,,471.0,1,unknown,no
50,services,married,secondary,unknown,5,,381.0,2,unknown,no
41,management,married,tertiary,unknown,5,may,42.0,1,unknown,no
41,,married,tertiary,unknown,5,may,,1,unknown,no
39,services,single,,unknown,5,may,408.0,1,,no
42,,married,,unknown,5,may,215.0,1,unknown,no
38,,married,,unknown,5,,287.0,1,unknown,no
53,retired,married,secondary,unknown,5,may,216.0,2,unknown,no
59,housemaid,divorced,primary,unknown,5,,,2,unknown,no
36,services,married,secondary,unknown,5,,210.0,1,unknown,no
54,blue-collar,married,primary,unknown,5,may,288.0,1,unknown,no
40,technician,married,tertiary,unknown,5,may,168.0,1,unknown,no
47,unknown,married,,unknown,5,may,338.0,2,unknown,no
53,,married,unknown,unknown,5,may,410.0,3,unknown,no
46,housemaid,married,primary,unknown,5,,,1,,no
39,,married,tertiary,unknown,5,may,127.0,2,unknown,no
40,unemployed,married,secondary,unknown,5,may,357.0,1,unknown,no
28,blue-collar,married,,unknown,5,may,175.0,1,,no
35,entrepreneur,divorced,secondary,unknown,5,may,300.0,1,unknown,no
55,retired,married,secondary,unknown,5,may,136.0,1,unknown,no
43,technician,divorced,,unknown,5,may,,1,unknown,no
48,blue-collar,married,primary,unknown,5,may,125.0,2,unknown,no
58,,married,unknown,unknown,5,may,,3,,no
33,management,single,tertiary,unknown,5,may,,1,,no
36,blue-collar,married,,unknown,5,may,238.0,2,unknown,no
53,services,divorced,,unknown,5,may,124.0,1,unknown,no
47,blue-collar,married,primary,unknown,5,may,18.0,1,,no
31,services,married,,unknown,5,may,730.0,2,unknown,no
57,,married,secondary,unknown,5,may,746.0,2,unknown,no
53,blue-collar,married,unknown,unknown,5,,121.0,1,unknown,no
55,,married,,unknown,5,may,247.0,1,unknown,no
45,,married,,unknown,5,may,40.0,1,unknown,no
53,admin.,divorced,secondary,unknown,5,may,,2,unknown,no
37,blue-collar,married,primary,unknown,5,may,79.0,1,unknown,no
44,admin.,divorced,secondary,unknown,5,,,1,,no
49,blue-collar,divorced,primary,unknown,5,,389.0,1,,no
46,technician,married,secondary,unknown,5,,127.0,1,unknown,no
43,,married,unknown,unknown,5,may,702.0,1,,no
38,admin.,married,,unknown,5,may,151.0,1,unknown,no
43,technician,married,,unknown,5,may,,1,unknown,no
49,,married,tertiary,unknown,5,may,232.0,3,unknown,no
42,,married,,unknown,5,may,408.0,2,unknown,no
22,blue-collar,single,secondary,unknown,5,,,2,,no
40,management,married,tertiary,unknown,5,may,39.0,1,unknown,no
39,blue-collar,married,secondary,unknown,5,may,282.0,1,unknown,no
51,services,married,secondary,unknown,5,may,714.0,2,unknown,no
49,admin.,married,secondary,unknown,5,may,50.0,1,,no
53,blue-collar,married,secondary,unknown,5,may,,1,unknown,no
34,services,single,secondary,unknown,5,,142.0,1,unknown,no
33,technician,divorced,secondary,unknown,5,,227.0,1,unknown,no
50,,single,tertiary,unknown,5,may,,1,unknown,no
39,blue-collar,married,primary,unknown,5,,,1,unknown,no
59,entrepreneur,divorced,secondary,unknown,5,may,,3,unknown,no
30,technician,single,secondary,unknown,5,may,67.0,2,,no
36,,married,secondary,unknown,5,may,,1,unknown,no
40,blue-collar,married,,unknown,5,,,2,unknown,no
53,blue-collar,married,secondary,unknown,5,may,611.0,2,unknown,no
34,management,single,tertiary,unknown,5,may,113.0,2,unknown,no
37,technician,married,,unknown,5,may,132.0,1,unknown,no
42,management,divorced,,unknown,5,may,58.0,3,unknown,no
41,,married,primary,unknown,5,may,151.0,1,unknown,no
30,,single,,unknown,5,may,89.0,2,unknown,no
37,management,single,tertiary,unknown,5,may,152.0,1,,no
39,,divorced,secondary,unknown,5,may,611.0,2,,no
41,blue-collar,married,primary,unknown,5,,,2,unknown,no
40,,married,primary,unknown,5,may,463.0,1,unknown,no
42,management,single,tertiary,unknown,5,may,,2,,yes
40,blue-collar,divorced,primary,unknown,5,may,962.0,1,,no
57,technician,married,secondary,unknown,5,,10.0,4,unknown,no
56,entrepreneur,divorced,secondary,unknown,5,may,118.0,3,unknown,no
37,admin.,married,secondary,unknown,5,may,92.0,2,unknown,no
59,retired,married,secondary,unknown,5,,143.0,3,unknown,no
39,,divorced,,unknown,5,may,,3,,no
49,services,married,,unknown,5,may,234.0,2,unknown,no
38,services,single,secondary,unknown,5,may,75.0,2,unknown,no
36,self-employed,married,tertiary,unknown,5,may,,2,unknown,no
50,blue-collar,married,primary,unknown,5,,621.0,3,unknown,no
41,admin.,married,secondary,unknown,5,may,,2,unknown,no
54,technician,married,tertiary,unknown,5,may,,4,,no
58,blue-collar,married,primary,unknown,5,may,156.0,2,,no
30,blue-collar,single,secondary,unknown,5,may,5.0,2,unknown,no
33,admin.,single,secondary,unknown,5,,225.0,2,unknown,no
47,,married,,unknown,5,may,,2,unknown,no
50,technician,single,tertiary,unknown,5,,2.0,3,unknown,no
32,blue-collar,married,,unknown,5,may,286.0,2,unknown,no
40,self-employed,married,secondary,unknown,5,may,164.0,2,unknown,no
37,management,married,tertiary,unknown,5,may,,2,unknown,no
54,technician,single,unknown,unknown,5,may,742.0,2,unknown,no
24,,single,,unknown,5,may,226.0,3,unknown,no
54,,married,tertiary,unknown,5,may,,2,,no
34,technician,married,secondary,unknown,5,may,362.0,4,unknown,no
56,,divorced,primary,unknown,5,may,357.0,2,unknown,no
31,blue-collar,single,,unknown,5,,200.0,2,,no
24,student,single,,unknown,5,may,,2,unknown,no
42,blue-collar,divorced,primary,unknown,5,may,,3,unknown,no
57,technician,married,secondary,unknown,5,may,65.0,2,unknown,no
42,,married,,unknown,5,may,107.0,2,unknown,no
51,admin.,married,secondary,unknown,5,,,2,unknown,no
57,retired,married,,unknown,5,may,248.0,2,,no
36,services,single,,unknown,5,may,215.0,2,,no
53,services,married,unknown,unknown,5,may,209.0,2,unknown,no
50,,married,secondary,unknown,5,may,,2,unknown,no
54,management,married,tertiary,unknown,5,may,,2,,no
55,,married,secondary,unknown,5,,,3,unknown,no
44,,married,secondary,unknown,5,,189.0,2,unknown,no
43,management,married,unknown,unknown,5,,105.0,2,unknown,no
56,admin.,married,secondary,unknown,5,may,106.0,2,unknown,no
54,technician,married,,unknown,5,may,108.0,2,unknown,no
55,services,divorced,primary,unknown,5,may,,2,unknown,no
37,services,divorced,secondary,unknown,5,,214.0,2,,no
33,admin.,single,tertiary,unknown,5,,,2,unknown,no
46,admin.,married,secondary,unknown,5,may,358.0,2,unknown,no
36,,married,secondary,unknown,5,may,453.0,2,unknown,no
51,technician,single,secondary,unknown,5,may,364.0,2,unknown,no
40,retired,single,primary,unknown,5,may,136.0,2,unknown,no
42,blue-collar,married,,unknown,5,may,,2,unknown,no
51,blue-collar,married,secondary,unknown,5,may,173.0,2,unknown,no
49,blue-collar,married,unknown,unknown,5,may,241.0,2,unknown,no
48,,married,secondary,unknown,5,,,3,,no
32,technician,divorced,tertiary,unknown,5,,,2,unknown,no
31,admin.,single,secondary,unknown,5,may,196.0,2,unknown,no
55,management,single,,unknown,5,,111.0,4,,no
40,blue-collar,single,secondary,unknown,5,may,231.0,3,unknown,no
47,technician,married,tertiary,unknown,5,may,316.0,3,unknown,no
57,technician,married,unknown,unknown,5,,216.0,3,unknown,no
41,blue-collar,married,,unknown,5,,,2,unknown,no
48,blue-collar,married,,unknown,5,may,669.0,3,unknown,no
42,blue-collar,married,unknown,unknown,5,may,425.0,2,unknown,no
30,blue-collar,single,secondary,unknown,5,may,143.0,2,unknown,no
58,management,single,tertiary,unknown,5,,174.0,5,unknown,no
45,management,divorced,tertiary,unknown,5,may,313.0,3,,no
49,blue-collar,married,secondary,unknown,5,may,,4,unknown,no
42,admin.,single,,unknown,5,,146.0,2,unknown,no
53,,married,,unknown,5,may,152.0,2,unknown,no
51,admin.,single,secondary,unknown,5,may,402.0,3,unknown,no
32,services,single,secondary,unknown,5,may,213.0,2,,no
41,,single,,unknown,5,may,144.0,3,unknown,no
43,management,divorced,secondary,unknown,5,may,124.0,3,,no
40,blue-collar,divorced,secondary,unknown,5,,183.0,2,unknown,no
50,blue-collar,married,primary,unknown,5,,325.0,2,,no
34,,married,tertiary,unknown,5,may,,4,unknown,no
53,services,married,unknown,unknown,5,may,503.0,2,,no
45,technician,married,secondary,unknown,5,may,,4,unknown,no
39,blue-collar,married,primary,unknown,5,may,680.0,2,unknown,no
44,,married,tertiary,unknown,5,may,421.0,4,unknown,no
55,management,married,tertiary,unknown,5,may,174.0,3,unknown,no
46,,single,tertiary,unknown,5,may,,2,unknown,no
45,blue-collar,married,,unknown,5,may,808.0,2,unknown,no
34,,married,secondary,unknown,5,may,,3,unknown,no
36,blue-collar,married,secondary,unknown,5,,195.0,2,unknown,no
59,unknown,divorced,,unknown,5,may,347.0,3,unknown,no
31,admin.,single,,unknown,5,may,208.0,2,,no
44,,single,secondary,unknown,5,may,,4,unknown,no
33,entrepreneur,single,tertiary,unknown,5,may,,2,unknown,no
40,blue-collar,married,,unknown,5,,216.0,4,unknown,no
46,admin.,single,tertiary,unknown,5,may,98.0,2,unknown,no
48,management,married,,unknown,5,may,350.0,2,unknown,no
42,,married,secondary,unknown,6,may,114.0,2,,no
27,services,married,,unknown,6,may,,3,unknown,no
48,admin.,married,secondary,unknown,6,may,379.0,2,unknown,no
59,,married,secondary,unknown,6,,190.0,3,unknown,no
46,technician,married,tertiary,unknown,6,may,158.0,1,unknown,no
38,admin.,divorced,,unknown,6,may,102.0,1,unknown,no
43,management,divorced,tertiary,unknown,6,may,306.0,1,unknown,no
38,,divorced,tertiary,unknown,6,may,218.0,1,unknown,no
23,student,single,secondary,unknown,6,may,54.0,1,,no
34,services,married,secondary,unknown,6,,344.0,1,unknown,no
38,admin.,married,secondary,unknown,6,may,195.0,1,unknown,no
37,blue-collar,married,secondary,unknown,6,may,,1,,no
25,,single,secondary,unknown,6,may,286.0,1,unknown,no
48,,married,unknown,unknown,6,may,189.0,1,unknown,no
49,,single,secondary,unknown,6,may,83.0,1,unknown,no
38,admin.,single,secondary,unknown,6,,184.0,2,unknown,no
43,blue-collar,married,,unknown,6,may,,1,unknown,no
33,,married,,unknown,6,may,,1,,no
55,,married,,unknown,6,may,232.0,1,unknown,no
38,blue-collar,married,secondary,unknown,6,may,133.0,1,unknown,no
49,services,married,,unknown,6,,318.0,1,unknown,no
40,,married,secondary,unknown,6,,260.0,3,unknown,no
43,admin.,married,unknown,unknown,6,may,437.0,1,,no
38,,married,secondary,unknown,6,may,402.0,1,unknown,no
58,,married,secondary,unknown,6,may,85.0,1,unknown,no
57,technician,married,unknown,unknown,6,may,125.0,1,unknown,no
32,,married,secondary,unknown,6,may,501.0,4,,no
56,management,married,tertiary,unknown,6,may,1201.0,1,unknown,yes
58,blue-collar,divorced,unknown,unknown,6,may,253.0,1,unknown,no
60,,divorced,,unknown,6,may,1030.0,1,unknown,yes
37,technician,married,tertiary,unknown,6,,149.0,1,,no
46,technician,divorced,tertiary,unknown,6,may,,1,unknown,no
27,,married,secondary,unknown,6,may,,1,unknown,no
43,blue-collar,married,,unknown,6,,769.0,2,unknown,no
32,technician,single,,unknown,6,may,135.0,3,unknown,no
40,,single,secondary,unknown,6,may,231.0,1,,no
38,admin.,married,secondary,unknown,6,may,76.0,1,unknown,no
34,blue-collar,married,secondary,unknown,6,may,199.0,1,unknown,no
47,blue-collar,married,primary,unknown,6,,152.0,1,unknown,no
42,housemaid,married,primary,unknown,6,may,124.0,1,unknown,no
48,technician,married,secondary,unknown,6,may,,1,unknown,no
29,,single,,unknown,6,may,,1,unknown,no
50,services,married,secondary,unknown,6,,,1,unknown,no
52,technician,married,unknown,unknown,6,may,203.0,2,,no
50,management,married,,unknown,6,may,326.0,1,,no
58,retired,married,tertiary,unknown,6,,393.0,1,unknown,no
46,blue-collar,divorced,primary,unknown,6,,241.0,3,unknown,no
38,technician,married,secondary,unknown,6,,,1,,no
46,blue-collar,married,secondary,unknown,6,may,259.0,1,unknown,no
32,services,single,secondary,unknown,6,may,227.0,1,unknown,no
51,blue-collar,married,,unknown,6,may,673.0,1,unknown,no
39,admin.,single,secondary,unknown,6,,576.0,1,unknown,no
48,admin.,married,secondary,unknown,6,,180.0,2,,no
36,entrepreneur,married,tertiary,unknown,6,may,168.0,2,unknown,no
34,admin.,divorced,secondary,unknown,6,may,90.0,1,unknown,no
40,,married,secondary,unknown,6,may,505.0,1,unknown,no
43,unemployed,married,secondary,unknown,6,may,,1,unknown,no
52,blue-collar,divorced,,unknown,6,,186.0,1,unknown,no
33,technician,married,secondary,unknown,6,may,623.0,1,unknown,no
49,management,single,tertiary,unknown,6,may,496.0,3,unknown,no
32,management,single,tertiary,unknown,6,may,118.0,1,,no
39,admin.,single,secondary,unknown,6,may,342.0,1,unknown,no
40,,married,secondary,unknown,6,may,,1,unknown,no
38,technician,single,tertiary,unknown,6,may,,3,unknown,no
43,management,married,secondary,unknown,6,may,,2,unknown,no
39,services,married,,unknown,6,may,,1,unknown,no
54,blue-collar,married,,unknown,6,may,76.0,1,,no
38,technician,single,,unknown,6,may,87.0,1,,no
40,blue-collar,married,,unknown,6,may,195.0,1,unknown,no
55,admin.,married,secondary,unknown,6,may,744.0,1,,no
42,management,married,tertiary,unknown,6,,765.0,1,,no
39,blue-collar,married,secondary,unknown,6,may,262.0,1,unknown,no
40,,married,primary,unknown,6,,119.0,1,unknown,no
32,blue-collar,married,secondary,unknown,6,,198.0,2,unknown,no
55,admin.,married,secondary,unknown,6,may,150.0,1,,no
45,blue-collar,married,secondary,unknown,6,may,,1,,no
35,management,single,tertiary,unknown,6,may,181.0,1,unknown,no
58,technician,divorced,secondary,unknown,6,may,,1,unknown,no
35,,married,secondary,unknown,6,may,149.0,1,unknown,no
49,services,married,primary,unknown,6,may,,1,unknown,no
34,technician,single,,unknown,6,may,112.0,1,unknown,no
36,blue-collar,married,secondary,unknown,6,may,,2,unknown,no
24,,single,secondary,unknown,6,,,1,unknown,no
34,technician,married,secondary,unknown,6,may,140.0,1,unknown,no
51,admin.,divorced,secondary,unknown,6,,,1,unknown,no
39,technician,single,unknown,unknown,6,may,1623.0,1,unknown,yes
50,self-employed,married,unknown,unknown,6,,101.0,1,unknown,no
32,services,single,,unknown,6,may,144.0,1,unknown,no
42,blue-collar,married,unknown,unknown,6,,238.0,1,,no
50,,married,,unknown,6,may,354.0,1,,no
40,services,married,secondary,unknown,6,may,79.0,1,unknown,no
46,management,divorced,unknown,unknown,6,may,,1,unknown,no
37,management,married,tertiary,unknown,6,may,,2,unknown,no
34,,married,secondary,unknown,6,may,159.0,1,,no
44,blue-collar,married,secondary,unknown,6,may,,1,unknown,no
40,admin.,single,secondary,unknown,6,may,170.0,1,unknown,no
37,technician,married,secondary,unknown,6,may,608.0,1,unknown,yes
33,blue-collar,single,,unknown,6,may,,1,unknown,no
35,blue-collar,married,secondary,unknown,6,may,145.0,2,unknown,no
58,,divorced,,unknown,6,,112.0,1,,no
39,,married,primary,unknown,6,may,262.0,2,unknown,no
43,blue-collar,married,secondary,unknown,6,may,124.0,1,unknown,no
39,unemployed,married,primary,unknown,6,,53.0,1,unknown,no
36,,single,primary,unknown,6,,,1,unknown,no
57,retired,single,secondary,unknown,6,may,204.0,4,unknown,no
36,admin.,single,secondary,unknown,6,may,186.0,1,unknown,no
50,blue-collar,married,,unknown,6,may,,1,unknown,no
55,,married,secondary,unknown,6,may,182.0,1,unknown,no
44,,married,tertiary,unknown,6,may,,1,unknown,no
44,services,divorced,,unknown,6,may,27.0,1,unknown,no
39,housemaid,single,primary,unknown,6,,699.0,3,unknown,no
46,blue-collar,married,unknown,unknown,6,,43.0,1,unknown,no
39,blue-collar,married,secondary,unknown,6,may,97.0,1,,no
34,admin.,married,secondary,unknown,6,may,1677.0,1,unknown,yes
40,blue-collar,married,primary,unknown,6,may,283.0,2,,no
50,management,married,tertiary,unknown,6,may,323.0,1,unknown,no
31,management,single,secondary,unknown,6,may,82.0,1,unknown,no
